RXCUI,TenThuoc
44,mesna
61,beta-alanine
73,docosahexaenoate
74,4-aminobenzoic acid
94,5-hydroxytryptophan
99,6-aminocaproic acid
103,mercaptopurine
110,oxyquinoline
149,acebutolol
155,acepromazine
161,acetaminophen
162,acetanilide
167,acetazolamide
168,acetic acid
178,acetone
193,acetylcarnitine
194,acetylcholine
197,acetylcysteine
272,activated charcoal
281,acyclovir
296,adenosine
318,adenosine triphosphate
376,corticotropin
397,agar
411,air
426,alanine
430,albendazole
435,albuterol
448,ethanol
480,alfentanil
508,allantoin
519,allopurinol
535,alpha 1-antitrypsin
569,eflornithine
596,alprazolam
598,alprostadil
612,aluminum hydroxide
615,aluminum oxide
620,amantadine
625,ambroxol
626,amdinocillin
627,amdinocillin pivoxil
632,mitomycin
641,amikacin
644,amiloride
683,aminolevulinic acid
689,aminophylline
703,amiodarone
704,amitriptyline
712,ammonium chloride
719,amobarbital
722,amoxapine
723,amoxicillin
725,amphetamine
732,amphotericin B
733,ampicillin
742,amyl nitrite
743,amylase
873,anthralin
1009,antithrombin III
1011,"lymphocyte immune globulin, anti-thymocyte globulin"
1043,apomorphine
1056,aprotinin
1091,arginine
1098,argipressin
1151,ascorbic acid
1156,asparaginase
1157,asparagine
1169,aspartic acid
1191,aspirin
1202,atenolol
1218,atracurium
1223,atropine
1227,auranofin
1251,azacitidine
1256,azathioprine
1272,aztreonam
1291,bacitracin
1292,baclofen
1331,barium sulfate
1347,beclomethasone
1356,beeswax
1359,belladonna alkaloids
1375,bentonite
1378,benzalkonium
1388,lindane
1390,benzethonium
1399,benzocaine
1406,benzoin resin
1418,benzoyl peroxide
1422,benzphetamine
1424,benztropine
1426,benzyl alcohol
1512,betaine
1514,betamethasone
1520,betaxolol
1525,bezafibrate
1588,biotin
1596,bisacodyl
1599,bismuth
1622,bleomycin
1700,boric acid
1705,boron
1712,botulinum toxin type A
1752,bromelains
1753,bromhexine
1760,bromocriptine
1767,brompheniramine
1808,bumetanide
1813,levobunolol
1815,bupivacaine
1819,buprenorphine
1825,buserelin
1827,buspirone
1828,busulfan
1841,butorphanol
1848,butylated hydroxytoluene
1886,caffeine
1889,calcifediol
1894,calcitriol
1895,calcium
1897,calcium carbonate
1901,calcium chloride
1908,calcium gluconate
1909,calcium glycerophosphate
1910,calcium hydroxide
1919,calcium phosphate
1925,calcium sulfate
1952,camphor
1984,cantharidin
1992,capsaicin
1998,captopril
1999,carbachol
2002,carbamazepine
2011,carbazochrome
2019,carbidopa
2020,carbimazole
2023,carbocysteine
2032,carbon black
2034,carbon dioxide
2051,carboprost
2062,carboxymethylcellulose
2101,carisoprodol
2105,carmustine
2106,carnitine
2116,carteolol
2129,castor oil
2176,cefaclor
2177,cefadroxil
2180,cefazolin
2186,cefotaxime
2187,cefotetan
2189,cefoxitin
2191,ceftazidime
2193,ceftriaxone
2194,cefuroxime
2221,cellulose
2231,cephalexin
2286,cetylpyridinium
2346,chlorambucil
2348,chloramphenicol
2353,clorazepate
2354,chlorcyclizine
2356,chlordiazepoxide
2358,chlorhexidine
2378,chlorobutanol
2382,proguanil
2388,chlorophyll
2393,chloroquine
2396,chlorothiazide
2399,chlorphenesin
2400,chlorpheniramine
2403,chlorpromazine
2409,chlorthalidone
2410,chlorzoxazone
2418,cholecalciferol
2438,cholesterol
2447,cholestyramine resin
2449,choline
2473,chondroitin sulfates
2530,chymotrypsin
2540,cilastatin
2541,cimetidine
2551,ciprofloxacin
2555,cisplatin
2556,citalopram
2567,citrulline
2578,clemastine
2582,clindamycin
2590,clobetasol
2596,clomiphene
2597,clomipramine
2598,clonazepam
2599,clonidine
2623,clotrimazole
2626,clozapine
2635,coal tar
2653,cocaine
2669,cod liver oil
2670,codeine
2683,colchicine
2685,colestipol
2709,colistin
2714,collagen
2837,copper
2839,copper gluconate
2854,corn oil
2878,cortisone
2890,cosyntropin
2898,coumarin
2907,creatine
2913,creatinine
2915,creosote
2955,curcumin
3001,cyclopentolate
3002,cyclophosphamide
3007,cycloserine
3008,cyclosporine
3013,cyproheptadine
3022,cysteamine
3024,cysteine
3041,cytarabine
3098,dacarbazine
3100,dactinomycin
3102,danazol
3105,dantrolene
3108,dapsone
3109,daunorubicin
3116,deanol
3131,deferoxamine
3143,prasterone
3154,demeclocycline
3247,desipramine
3251,desmopressin
3254,desonide
3255,desoximetasone
3264,dexamethasone
3272,dextran 40
3274,dextran 70
3288,dextroamphetamine
3289,dextromethorphan
3322,diazepam
3327,diazoxide
3339,dibucaine
3353,dichlorphenamide
3355,diclofenac
3356,dicloxacillin
3361,dicyclomine
3364,didanosine
3368,dienestrol
3389,diethylpropion
3390,diethylstilbestrol
3393,diflunisal
3407,digoxin
3418,dihydroergotamine
3423,hydromorphone
3430,dihydroxyacetone
3435,iodoquinol
3443,diltiazem
3444,dimenhydrinate
3445,dimercaprol
3446,succimer
3455,dimethyl sulfoxide
3478,dinoprostone
3489,diosmin
3498,diphenhydramine
3500,diphenoxylate
3521,dipyridamole
3523,dipyrone
3541,disopyramide
3554,disulfiram
3616,dobutamine
3628,dopamine
3637,doxapram
3638,doxepin
3639,doxorubicin
3640,doxycycline
3642,doxylamine
3648,droperidol
3743,econazole
3752,edrophonium
3755,edetic acid
3827,enalapril
3829,enalaprilat
3966,ephedrine
3992,epinephrine
3995,epirubicin
4018,ergocalciferol
4024,"ergoloid mesylates, USP"
4025,ergotamine
4053,erythromycin
4061,erythrosine
4065,escin
4077,estazolam
4083,estradiol
4089,estramustine
4094,estriol
4099,"estrogens, conjugated (USP)"
4110,ethambutol
4112,ethamsylate
4124,ethinyl estradiol
4125,ethiodized oil
4126,amifostine
4127,ethionamide
4135,ethosuximide
4141,ethyl chloride
4158,ethylenediamine
4177,etomidate
4179,etoposide
4186,eugenol
4249,factor IX
4254,factor VII
4256,factor VIIa
4257,factor VIII
4262,factor X
4271,factor XIII
4278,famotidine
4301,omega-3 fatty acids
4316,felodipine
4325,fenbendazole
4328,fenfluramine
4331,fenoprofen
4337,fentanyl
4385,fibrinogen
4419,fish oils
4440,flavoxate
4441,flecainide
4450,fluconazole
4451,flucytosine
4452,fludrocortisone
4457,flumazenil
4462,fluocinonide
4488,floxuridine
4491,fluorometholone
4492,fluorouracil
4493,fluoxetine
4496,fluphenazine
4500,flurandrenolide
4501,flurazepam
4502,flurbiprofen
4508,flutamide
4511,folic acid
4530,formaldehyde
4537,formic acid
4550,fosfomycin
4570,fructose
4601,furazolidone
4603,furosemide
4626,galactose
4637,galantamine
4678,ganciclovir
4716,gelatin
4719,gemfibrozil
4778,gentian violet
4815,glyburide
4821,glipizide
